parent_name,parent_entity_id,parent_entity_type,parent_lei,parent_permid,parent_registration_country,parent_headquarter_country,overall_share_percent,ownership_path,ownership_path_datasource_ids,immediate_source_owner,immediate_source_owner_entity_id,source_operator,source_operator_id,source_id,source_name,source_sector,source_subsector
Rakesh Agencies Pvt Ltd,E100002011123,,,,,,,Rakesh Agencies Pvt Ltd -> Karigohi Mine [unknown %],,Rakesh Agencies Pvt Ltd,E100002011123,,,42233141,Karigohi Mine,mineral-extraction,bauxite-mining
Prachi Mines Corp,E100002011124,,,,,,,Prachi Mines Corp -> Karivane Mine [unknown %],,Prachi Mines Corp,E100002011124,,,42233142,Karivane Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Kavadoli Mine [unknown %],,natural person(s),E100000123261,,,42233143,Kavadoli Mine,mineral-extraction,bauxite-mining
Prabhudas Vithaldas,E100002011126,,,,,,,Prabhudas Vithaldas  -> Kenedi Mine [unknown %],,Prabhudas Vithaldas,E100002011126,,,42233144,Kenedi Mine,mineral-extraction,bauxite-mining
,,,,,,,,,,,,Bharat Aluminum Co Ltd,E100001010032,42233145,Kesara Mine,mineral-extraction,bauxite-mining
Vedanta Resources PLC,E100002011099,,,,,,,Vedanta Resources PLC -> Kesara Mine [unknown %],,Vedanta Resources PLC,E100002011099,,,42233145,Kesara Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Keshav Mine [unknown %],,natural person(s),E100000123261,,,42233146,Keshav Mine,mineral-extraction,bauxite-mining
Krishna Mines and Minerals Ltd,E100002011128,legal entity,,,,,,Krishna Mines and Minerals Ltd -> Khamparia Mine [unknown %],,Krishna Mines and Minerals Ltd,E100002011128,,,42233147,Khamparia Mine,mineral-extraction,bauxite-mining
State of Odisha,E100001001022,state,,5000055861,,IND,,State of Odisha  -> Odisha Mining Corporation Ltd [100.0%] -> Kodingamali Mine [unknown %],,Odisha Mining Corporation Ltd,E100002000286,,,42233148,Kodingamali Mine,mineral-extraction,bauxite-mining
Odisha Mining Corporation Ltd,E100002000286,legal entity,335800Z5WJ9SHF65LQ72,5037852553,IND,IND,,Odisha Mining Corporation Ltd -> Kodingamali Mine [unknown %],,Odisha Mining Corporation Ltd,E100002000286,,,42233148,Kodingamali Mine,mineral-extraction,bauxite-mining
Kunjilal Ishwari Prasad Agrawal,E100002011104,,,,,,,Kunjilal Ishwari Prasad Agrawal  -> Koldiya Mine [unknown %],,Kunjilal Ishwari Prasad Agrawal,E100002011104,,,42233149,Koldiya Mine,mineral-extraction,bauxite-mining
Government of India,E100001000397,state,,5000055448,,IND,,Government of India  -> Life Insurance Corporation of India Ltd [96.5%] -> Hindalco Industries Ltd [9.65%] -> Kudag Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233150,Kudag Mine,mineral-extraction,bauxite-mining
IGH Holdings Pvt Ltd,E100001010419,legal entity,335800E52FQAZNBKW310,5000932187,IND,IND,,IGH Holdings Pvt Ltd -> Hindalco Industries Ltd [15.58%] -> Kudag Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233150,Kudag Mine,mineral-extraction,bauxite-mining
Hindalco Industries Ltd,E100000120560,legal entity,335800KXLE5NO5B4GF90,4295873625,IND,IND,,Hindalco Industries Ltd -> Kudag Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233150,Kudag Mine,mineral-extraction,bauxite-mining
Life Insurance Corporation of India Ltd,E100001000520,legal entity,21380068NOA8WMH89Z35,4298477512,IND,IND,,Life Insurance Corporation of India Ltd -> Hindalco Industries Ltd [9.65%] -> Kudag Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233150,Kudag Mine,mineral-extraction,bauxite-mining
Birla Group Holdings Pvt Ltd,E100001010420,legal entity,335800ILCQTLE8K8I628,5000003697,IND,IND,,Birla Group Holdings Pvt Ltd -> Hindalco Industries Ltd [10.16%] -> Kudag Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233150,Kudag Mine,mineral-extraction,bauxite-mining
natural person(s),E100000123261,person,not applicable,not applicable,,,,natural person(s)  -> Hindalco Industries Ltd [5.16%] -> Kudag Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233150,Kudag Mine,mineral-extraction,bauxite-mining
Essel Mining & Industries Ltd,E100000153045,legal entity,3358006SBGEK8EC3HC67,4296015221,IND,IND,,Essel Mining & Industries Ltd -> IGH Holdings Pvt Ltd [100.0%] -> Hindalco Industries Ltd [15.58%] -> Kudag Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233150,Kudag Mine,mineral-extraction,bauxite-mining
small shareholder(s),E100001015587,unknown entity,not applicable,not applicable,,,,small shareholder(s)  -> Hindalco Industries Ltd [59.45%] -> Kudag Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233150,Kudag Mine,mineral-extraction,bauxite-mining
Aditya Birla Management Corporation Pvt Ltd,E100000120031,legal entity,335800GITXOP4O6TQM65,5000053377,IND,IND,,Aditya Birla Management Corporation Pvt Ltd -> Essel Mining & Industries Ltd [unknown %] -> IGH Holdings Pvt Ltd [100.0%] -> Hindalco Industries Ltd [15.58%] -> Kudag Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233150,Kudag Mine,mineral-extraction,bauxite-mining
,,,,,,,,,,,,Bharat Aluminum Co Ltd,E100001010032,42233151,Kudaridih East Mine,mineral-extraction,bauxite-mining
Vedanta Resources PLC,E100002011099,,,,,,,Vedanta Resources PLC -> Kudaridih East Mine [unknown %],,Vedanta Resources PLC,E100002011099,,,42233151,Kudaridih East Mine,mineral-extraction,bauxite-mining
,,,,,,,,,,,,Bharat Aluminum Co Ltd,E100001010032,42233152,Kudaridih West Mine,mineral-extraction,bauxite-mining
Vedanta Resources PLC,E100002011099,,,,,,,Vedanta Resources PLC -> Kudaridih West Mine [unknown %],,Vedanta Resources PLC,E100002011099,,,42233152,Kudaridih West Mine,mineral-extraction,bauxite-mining
Bharatesh Construction Co,E100002011110,,,,,,,Bharatesh Construction Co -> Kudgaon Mine [unknown %],,Bharatesh Construction Co,E100002011110,,,42233153,Kudgaon Mine,mineral-extraction,bauxite-mining
Government of India,E100001000397,state,,5000055448,,IND,,Government of India  -> Life Insurance Corporation of India Ltd [96.5%] -> Hindalco Industries Ltd [9.65%] -> Kujam Mine [unknown %],,Hindalco Industries Ltd,E100000120560,,,42233154,Kujam Mine,mineral-extraction,bauxite-mining
