parent_name,parent_entity_id,parent_entity_type,parent_lei,parent_permid,parent_registration_country,parent_headquarter_country,overall_share_percent,ownership_path,ownership_path_datasource_ids,immediate_source_owner,immediate_source_owner_entity_id,source_operator,source_operator_id,source_id,source_name,source_sector,source_subsector
Gujarat Mineral Development Co Ltd,E100001000669,legal entity,335800B8OP5L7DH9VD35,4295872462,IND,IND,3.38,Gujarat Mineral Development Co Ltd -> Gujarat Alkalies & Chemicals Ltd [5.64%] -> GACL-NALCO Alkalies and Chemicals Pvt Ltd [60.0%] -> GACL Dahej Caustic Captive power plant [100.0%],1741,GACL-NALCO Alkalies and Chemicals Pvt Ltd,E100000003052,,,448179,GACL Dahej Caustic Captive power plant,power,electricity-generation
National Aluminium Co Ltd,E100000000522,legal entity,335800OM1V78CX7SSC72,4295872611,IND,IND,40.0,National Aluminium Co Ltd -> GACL-NALCO Alkalies and Chemicals Pvt Ltd [40.0%] -> GACL Dahej Caustic Captive power plant [100.0%],,GACL-NALCO Alkalies and Chemicals Pvt Ltd,E100000003052,,,448179,GACL Dahej Caustic Captive power plant,power,electricity-generation
small shareholder(s) ,E100001015587,unknown entity,not applicable,not applicable,,,12.47,small shareholder(s)  -> National Aluminium Co Ltd [31.18%] -> GACL-NALCO Alkalies and Chemicals Pvt Ltd [40.0%] -> GACL Dahej Caustic Captive power plant [100.0%],1741,GACL-NALCO Alkalies and Chemicals Pvt Ltd,E100000003052,,,448179,GACL Dahej Caustic Captive power plant,power,electricity-generation
Gujarat Industrial Investment Co Ltd,E100001016510,legal entity,not found,5000011219,IND,IND,5.81,Gujarat Industrial Investment Co Ltd -> Gujarat Alkalies & Chemicals Ltd [9.69%] -> GACL-NALCO Alkalies and Chemicals Pvt Ltd [60.0%] -> GACL Dahej Caustic Captive power plant [100.0%],1741,GACL-NALCO Alkalies and Chemicals Pvt Ltd,E100000003052,,,448179,GACL Dahej Caustic Captive power plant,power,electricity-generation
Government of India ,E100001000397,state,,5000055448,,IND,20.51,Government of India  -> National Aluminium Co Ltd [51.28%] -> GACL-NALCO Alkalies and Chemicals Pvt Ltd [40.0%] -> GACL-NALCO Dahej Caustic captive power station [100.0%],1741,GACL-NALCO Alkalies and Chemicals Pvt Ltd,E100000003052,,,453065,GACL-NALCO Dahej Caustic captive power station,power,electricity-generation
National Aluminium Co Ltd,E100000000522,legal entity,335800OM1V78CX7SSC72,4295872611,IND,IND,40.0,National Aluminium Co Ltd -> GACL-NALCO Alkalies and Chemicals Pvt Ltd [40.0%] -> GACL-NALCO Dahej Caustic captive power station [100.0%],,GACL-NALCO Alkalies and Chemicals Pvt Ltd,E100000003052,,,453065,GACL-NALCO Dahej Caustic captive power station,power,electricity-generation
Lok Prakashan Ltd,E100001011625,legal entity,254900UXDB4CGPY3LW14,4296967057,IND,IND,13.25,Lok Prakashan Ltd -> Gujarat Alkalies & Chemicals Ltd [22.08%] -> GACL-NALCO Alkalies and Chemicals Pvt Ltd [60.0%] -> GACL-NALCO Dahej Caustic captive power station [100.0%],1741,GACL-NALCO Alkalies and Chemicals Pvt Ltd,E100000003052,,,453065,GACL-NALCO Dahej Caustic captive power station,power,electricity-generation
State of Gujarat ,E100000131638,state,,5000004492,,IND,2.5,State of Gujarat  -> Gujarat Mineral Development Co Ltd [74.0%] -> Gujarat Alkalies & Chemicals Ltd [5.64%] -> GACL-NALCO Alkalies and Chemicals Pvt Ltd [60.0%] -> GACL-NALCO Dahej Caustic captive power station [100.0%],"1741,109095",GACL-NALCO Alkalies and Chemicals Pvt Ltd,E100000003052,,,453065,GACL-NALCO Dahej Caustic captive power station,power,electricity-generation
Gujarat Industrial Investment Co Ltd,E100001016510,legal entity,not found,5000011219,IND,IND,5.81,Gujarat Industrial Investment Co Ltd -> Gujarat Alkalies & Chemicals Ltd [9.69%] -> GACL-NALCO Alkalies and Chemicals Pvt Ltd [60.0%] -> GACL-NALCO Dahej Caustic captive power station [100.0%],1741,GACL-NALCO Alkalies and Chemicals Pvt Ltd,E100000003052,,,453065,GACL-NALCO Dahej Caustic captive power station,power,electricity-generation
natural person(s) ,E100000123261,person,not applicable,not applicable,,,7.02,natural person(s)  -> National Aluminium Co Ltd [17.54%] -> GACL-NALCO Alkalies and Chemicals Pvt Ltd [40.0%] -> GACL-NALCO Dahej Caustic captive power station [100.0%],1741,GACL-NALCO Alkalies and Chemicals Pvt Ltd,E100000003052,,,453065,GACL-NALCO Dahej Caustic captive power station,power,electricity-generation
Gujarat Alkalies & Chemicals Ltd,E100001011714,legal entity,3358005P5ZRWDOH2RW46,4295873293,IND,IND,60.0,Gujarat Alkalies & Chemicals Ltd -> GACL-NALCO Alkalies and Chemicals Pvt Ltd [60.0%] -> GACL-NALCO Dahej Caustic captive power station [100.0%],,GACL-NALCO Alkalies and Chemicals Pvt Ltd,E100000003052,,,453065,GACL-NALCO Dahej Caustic captive power station,power,electricity-generation
small shareholder(s) ,E100001015587,unknown entity,not applicable,not applicable,,,12.47,small shareholder(s)  -> National Aluminium Co Ltd [31.18%] -> GACL-NALCO Alkalies and Chemicals Pvt Ltd [40.0%] -> GACL-NALCO Dahej Caustic captive power station [100.0%],1741,GACL-NALCO Alkalies and Chemicals Pvt Ltd,E100000003052,,,453065,GACL-NALCO Dahej Caustic captive power station,power,electricity-generation
Gujarat State Investments Ltd,E100001016509,legal entity,335800WZNZ5VLR95GW10,5000931368,,,12.52,Gujarat State Investments Ltd -> Gujarat Alkalies & Chemicals Ltd [20.87%] -> GACL-NALCO Alkalies and Chemicals Pvt Ltd [60.0%] -> GACL-NALCO Dahej Caustic captive power station [100.0%],1741,GACL-NALCO Alkalies and Chemicals Pvt Ltd,E100000003052,,,453065,GACL-NALCO Dahej Caustic captive power station,power,electricity-generation
Gujarat Mineral Development Co Ltd,E100001000669,legal entity,335800B8OP5L7DH9VD35,4295872462,IND,IND,3.38,Gujarat Mineral Development Co Ltd -> Gujarat Alkalies & Chemicals Ltd [5.64%] -> GACL-NALCO Alkalies and Chemicals Pvt Ltd [60.0%] -> GACL-NALCO Dahej Caustic captive power station [100.0%],1741,GACL-NALCO Alkalies and Chemicals Pvt Ltd,E100000003052,,,453065,GACL-NALCO Dahej Caustic captive power station,power,electricity-generation
Claymore Investments (Mauritius) Pte Ltd,E100001010675,legal entity,549300QTJELWPU1TVU76,5050275062,MUS,MUS,11.66,Claymore Investments (Mauritius) Pte Ltd -> GMR Energy Ltd [11.66%] -> GMR Energy Limited Combined Cycle power plant [100.0%],,GMR Energy Ltd,E100000003060,,,4404338,GMR Energy Limited Combined Cycle power plant,power,electricity-generation
GMR Business and Consultancy LLP,E100002000014,legal entity,335800H1B6FYREY4YK89,5055410005,IND,IND,8.82,GMR Business and Consultancy LLP -> GMR Power and Urban Infra Ltd [12.68%] -> GMR Energy Ltd [69.58%] -> GMR Energy Limited Combined Cycle power plant [100.0%],114818,GMR Energy Ltd,E100000003060,,,4404338,GMR Energy Limited Combined Cycle power plant,power,electricity-generation
small shareholder(s) ,E100001015587,unknown entity,not applicable,not applicable,,,29.16,small shareholder(s)  -> GMR Power and Urban Infra Ltd [41.91%] -> GMR Energy Ltd [69.58%] -> GMR Energy Limited Combined Cycle power plant [100.0%],114818,GMR Energy Ltd,E100000003060,,,4404338,GMR Energy Limited Combined Cycle power plant,power,electricity-generation
GMR Enterprises Pvt Ltd,E100002000013,legal entity,335800T3TVQHJQC1Q444,5040696110,IND,IND,31.6,GMR Enterprises Pvt Ltd -> GMR Power and Urban Infra Ltd [45.41%] -> GMR Energy Ltd [69.58%] -> GMR Energy Limited Combined Cycle power plant [100.0%],114818,GMR Energy Ltd,E100000003060,,,4404338,GMR Energy Limited Combined Cycle power plant,power,electricity-generation
GMR Power and Urban Infra Ltd,E100002000010,legal entity,335800T1CSFF6PNMGZ84,5080039315,IND,IND,69.58,GMR Power and Urban Infra Ltd -> GMR Energy Ltd [69.58%] -> GMR Energy Limited Combined Cycle power plant [100.0%],,GMR Energy Ltd,E100000003060,,,4404338,GMR Energy Limited Combined Cycle power plant,power,electricity-generation
GMR Airports Infrastructure Ltd,E100001010674,legal entity,3358008S2MTRWZ255P70,4295873216,IND,IND,12.21,GMR Airports Infrastructure Ltd -> GMR Energy Ltd [12.21%] -> GMR Energy Limited Combined Cycle power plant [100.0%],,GMR Energy Ltd,E100000003060,,,4404338,GMR Energy Limited Combined Cycle power plant,power,electricity-generation
small shareholder(s) ,E100001015587,unknown entity,not applicable,not applicable,,,,small shareholder(s)  -> GMR Warora Energy Ltd [7.93%] -> GMR Warora Energy power station [unknown %],,GMR Warora Energy Ltd,E100002005651,,,25454185,GMR Warora Energy power station,power,electricity-generation
GMR Power and Urban Infra Ltd,E100002000010,legal entity,335800T1CSFF6PNMGZ84,5080039315,IND,IND,,GMR Power and Urban Infra Ltd -> GMR Energy Ltd [69.58%] -> GMR Warora Energy Ltd [92.07%] -> GMR Warora Energy power station [unknown %],166563,GMR Warora Energy Ltd,E100002005651,,,25454185,GMR Warora Energy power station,power,electricity-generation
